"TIME";"DESTINATION";"DESTINATION_PLANET";"CREDITS";"LOOT_TYPE";"LOOT"
"2018-12-25 23:38:01";"Ultor";"Mars";6800;"blueprint";"Banshee Reverb Helmet"
"2018-12-25 23:14:01";"Hepit";"Void";7100;"resource";"Void Traces (20x)"
"2018-12-25 23:01:01";"Brugia";"Eris";12800;"";""
"2018-12-25 22:39:01";"Triton";"Neptune";11300;"resource";"Control Module"
"2018-12-25 22:24:01";"Aphrodite";"Venus";5000;"miscellaneous";"Kubrow Egg"
"2018-12-25 22:15:01";"Pallas";"Ceres";6500;"blueprint";"Titania Aurai Helmet"
"2018-12-25 22:11:01";"Rosalind";"Uranus";11600;"aura";"Sniper Scavenger"
"2018-12-25 22:06:01";"Orias";"Europa";9200;"";""
"2018-12-25 21:38:02";"Titan";"Saturn";0;"resource";"Detonite Injector (3x)"
"2018-12-25 21:38:01";"Numa";"Saturn";0;"resource";"Detonite Injector (3x)"
"2018-12-25 21:36:01";"Roche";"Phobos";5900;"resource";"Nitain Extract"
"2018-12-25 21:20:01";"Cypress";"Pluto";13400;"blueprint";"Nidus Prion Helmet"
"2018-12-25 20:58:01";"Mariana";"Earth";3500;"blueprint";"Pangolin Sword"
"2018-12-25 20:52:01";"Callisto";"Jupiter";7400;"resource";"Neural Sensors"
"2018-12-25 20:32:01";"Suisei";"Mercury";5300;"";""
"2018-12-25 20:24:01";"Taveuni";"Kuva Fortress";12800;"resource";"Synthula (5x)"
"2018-12-25 20:20:26";"Enceladus";"Saturn";0;"resource";"Mutagen Mass"
"2018-12-25 20:19:01";"Lex";"Ceres";7100;"";""
"2018-12-25 20:11:01";"Salacia";"Neptune";11600;"";""
"2018-12-25 19:23:01";"Ani";"Void";9800;"resource";"Void Traces (20x)"
"2018-12-25 19:20:01";"Dione";"Saturn";9500;"miscellaneous";"100 ENDO"
"2018-12-25 19:14:01";"Alator";"Mars";6800;"aura";"Pistol Scavenger"
"2018-12-25 18:54:01";"Io";"Jupiter";8000;"blueprint";"Vauban Neuroptics"
"2018-12-25 18:49:01";"Kala-azar";"Eris";12800;"";""
"2018-12-25 18:41:01";"Cervantes";"Earth";4700;"aura";"EMP"
"2018-12-25 17:52:01";"Nuovo";"Ceres";7400;"";""
"2018-12-25 17:46:01";"Sharpless";"Phobos";6500;"miscellaneous";"100 ENDO"
"2018-12-25 17:18:01";"Caliban";"Uranus";10700;"blueprint";"Nova Quantum Helmet"
"2018-12-25 17:12:01";"Laomedeia";"Neptune";12200;"blueprint";"Wukong Macak Helmet"
"2018-12-25 16:47:01";"Narcissus";"Pluto";12800;"blueprint";"Mirage Harlequin Helmet"
"2018-12-25 16:32:02";"Montes";"Venus";5000;"blueprint";"Valkyr Kara Helmet"
"2018-12-25 16:12:01";"Stribog";"Void";9200;"resource";"Void Traces (20x)"
"2018-12-25 16:05:02";"Baal";"Europa";9500;"resource";"Nitain Extract"
"2018-12-25 15:42:01";"Saxis";"Eris";13700;"blueprint";"Scindo Dagger-axe Skin"
"2018-12-25 15:38:01";"Rusalka";"Sedna";13400;"miscellaneous";"150 ENDO"
"2018-12-25 15:21:01";"Erpo";"Earth";3800;"blueprint";"Dark Sword"
"2018-12-25 14:46:01";"Galatea";"Neptune";11600;"miscellaneous";"Accelerated Blast"
"2018-12-25 14:37:02";"Elion";"Mercury";5600;"";""
"2018-12-25 14:33:02";"Minthe";"Pluto";12200;"miscellaneous";"150 ENDO"
"2018-12-25 14:00:01";"Montes";"Venus";3800;"blueprint";"Mag Coil Helmet"
"2018-12-25 13:47:01";"Ker";"Ceres";7400;"";""
"2018-12-25 13:40:01";"Ultor";"Mars";6800;"";""
"2018-12-25 13:30:01";"Shklovsky";"Phobos";6800;"miscellaneous";"Vigor"
"2018-12-25 13:13:35";"Unda";"Venus";0;"resource";"Mutagen Mass"
"2018-12-25 12:57:02";"Kappa";"Sedna";14000;"";""
"2018-12-25 12:44:02";"Elara";"Jupiter";8600;"";""
"2018-12-25 12:41:02";"Dione";"Saturn";9500;"miscellaneous";"Streamlined Form"
"2018-12-25 12:29:01";"Tiwaz";"Void";9800;"resource";"Oxium (300x)"
"2018-12-25 12:04:02";"Xini";"Eris";12800;"miscellaneous";"150 ENDO"
"2018-12-25 12:04:01";"Lares";"Mercury";5300;"";""
"2018-12-25 11:30:01";"Orias";"Europa";8900;"miscellaneous";"100 ENDO"
"2018-12-25 11:29:02";"Kiste";"Ceres";0;"resource";"Fieldron (3x)"
"2018-12-25 11:25:01";"Ludi";"Ceres";0;"resource";"Fieldron (3x)"
"2018-12-25 11:19:01";"Erpo";"Earth";4700;"blueprint";"Dual Zoren Dagger-axe Skin"
"2018-12-25 11:04:02";"Ultor";"Mars";6800;"resource";"Nitain Extract"
"2018-12-25 10:59:01";"Palus";"Pluto";12800;"resource";"Orokin Cell"
"2018-12-25 10:24:01";"Lex";"Ceres";7100;"miscellaneous";"100 ENDO"
"2018-12-25 10:21:01";"Kiliken";"Venus";0;"resource";"Mutagen Mass"
"2018-12-25 10:14:02";"Cressida";"Uranus";11300;"blueprint";"Trinity Meridian Helmet"
"2018-12-25 09:51:02";"Dione";"Saturn";9800;"miscellaneous";"100 ENDO"
"2018-12-25 09:36:01";"Laomedeia";"Neptune";12500;"resource";"Morphics"
"2018-12-25 09:20:01";"Elion";"Mercury";5000;"blueprint";"Volt Storm Helmet"
"2018-12-25 09:13:02";"Pacific";"Earth";4400;"aura";"Energy Siphon"
"2018-12-25 09:10:01";"Unda";"Venus";4400;"";""
"2018-12-25 08:39:01";"Ananke";"Jupiter";8300;"miscellaneous";"100 ENDO"
"2018-12-25 08:29:01";"Nimus";"Eris";14900;"resource";"Orokin Cell"
"2018-12-25 08:12:01";"Sharpless";"Phobos";6500;"";""
"2018-12-25 07:40:01";"Syrtis";"Mars";6200;"miscellaneous";"Armored Agility"
"2018-12-25 07:32:02";"Palus";"Pluto";14900;"";""
"2018-12-25 07:27:02";"Ani";"Void";10100;"resource";"Void Traces (20x)"
"2018-12-25 07:10:02";"Naamah";"Europa";0;"resource";"Fieldron (3x)"
"2018-12-25 07:10:02";"Abaddon";"Europa";0;"resource";"Mutagen Mass (2x)"
"2018-12-25 07:05:01";"Proteus";"Neptune";11900;"resource";"Tellurium"
"2018-12-25 06:59:01";"Ophelia";"Uranus";10700;"miscellaneous";"150 ENDO"
